time,speaker_gt,f0,centroid,tilt,rms
1.175,Sage,131.5,911.6154232039308,-8.975704740692345,-24.299028867264223
1.375,Sage,129.1,848.679662656072,-8.364931737004552,-23.695241197287675
1.575,Sage,124.2,788.2014482539205,-8.219645847616635,-24.4851921640766
1.775,Sage,124.2,795.8296467431293,-7.334815175161389,-24.16695641478507
1.975,Sage,125.3,766.34337992944,-7.470627074379382,-22.882829161386034
2.175,Sage,136.0,793.3071249830172,-7.119505226623355,-21.483355806054128
2.375,Sage,136.0,1130.0440890419895,-5.483255335872145,-23.590682766090442
2.575,Sage,136.0,1156.5315950172005,-5.45075781191937,-24.13335197264942
2.775,Sage,140.8,1227.9833405410373,-6.013988587403069,-23.052523493041875
2.975,Sage,155.2,1525.3425874130603,-5.140042083515379,-22.707135592832707
3.175,Sage,155.7,1168.119355447763,-7.668399053804347,-22.913623813772887
3.375,Sage,149.4,1012.3303799996137,-8.701112430206159,-23.06575018649798
3.575,Sage,153.9,919.2283178801503,-9.149933504923064,-25.088763730259082
3.775,Sage,123.7,880.4150698235644,-9.563524939067037,-22.84234026078235
3.975,Sage,127.8,1098.6582910267628,-8.29187356345814,-20.699161550165265
4.175,Sage,141.8,1230.3149918755275,-7.386823665361281,-20.18722157460012
4.375,Sage,141.8,1432.6961346161452,-6.661008844386515,-17.416557305849608
4.575,Sage,152.1,1123.5379860864132,-7.9819297174853165,-24.634129706704023
4.775,Sage,123.9,1075.932991032075,-8.280470752952883,-27.60885090479536
4.975,Sage,125.1,1100.743705321484,-8.274660657969099,-25.632954919861866
5.175,Sage,128.5,1070.037203222738,-8.521251308119727,-22.272431477988096
5.375,Sage,129.6,1236.7241258946055,-7.635368749019622,-21.08238128682414
5.575,Sage,154.9,1424.4416886790334,-6.143624307956551,-20.42959292815151
5.775,Sage,173.0,1599.4229255621835,-5.0214054757348014,-23.015152935055767
5.975,Sage,173.2,1644.176809122668,-4.743719107928644,-24.551836590390973
6.175,Asher,174.9,1633.2635709555595,-4.7456171399538025,-29.939072173011883
6.375,Asher,173.2,1441.446913237296,-6.048705098080225,-30.609203344270128
6.575,Asher,168.1,1470.747398139334,-5.507592762232194,-29.670745384063054
6.775,Asher,172.4,1444.6675739479635,-5.743910298450677,-31.979213868803416
6.975,Asher,131.6,1264.4777301764252,-6.836406162193369,-31.08782152648954
7.175,Asher,131.6,1240.306361373797,-7.262282577249258,-29.622822544741453
7.375,Asher,138.1,1113.4286432282463,-7.884335571922671,-31.54971455976878
7.575,Asher,138.0,1230.4014229215363,-7.1727009978275715,-29.173036692484725
7.775,Asher,140.8,1222.3860687064735,-7.20010856366039,-30.21623993527177
7.975,Asher,143.9,1196.8290981655769,-7.315672739812908,-30.854831224296966
8.175,Asher,198.1,1199.3830599273153,-7.39225738658993,-31.61765402779118
9.375,Asher,141.9,1454.9857806397695,-5.327914222975115,-33.518414941150574
9.575,Asher,380.3,1474.6945921671104,-5.640658686286736,-33.56990295749593
9.775,Asher,380.3,1474.6945921671104,-5.640658686286736,-33.56990295749593
10.375,Sage,135.8,1182.938203289722,-7.779645253063384,-21.276973008873323
10.575,Sage,140.8,1156.5473586585213,-7.775983730738766,-18.61663111666166
10.775,Sage,143.5,1248.5465220507213,-7.075601051960071,-19.65484669608302
10.975,Sage,143.8,1150.5848768885726,-7.109965961715611,-20.371545575854796
11.175,Sage,146.6,1082.9200081854772,-7.543596271192293,-21.074347148518132
11.375,Sage,147.5,982.08440980637,-8.298669548265151,-21.06770818879258
11.575,Sage,146.6,882.7985357606353,-8.646623924008011,-19.96973993022563
11.775,Sage,145.4,841.2806596841352,-8.630098984023727,-17.778855073118283
11.975,Sage,143.9,876.936515514386,-8.101355786829732,-15.615369390502668
12.175,Sage,142.6,868.1193051831425,-7.413455778651082,-15.520844828011322
12.375,Sage,142.1,970.6377135481955,-6.997353146214993,-15.715751767062908
12.575,Sage,141.1,949.6604002936249,-7.495208922091184,-16.040398369890077
12.775,Sage,139.8,948.0109323836793,-7.623155630715754,-18.242810802969306
12.975,Sage,139.4,1056.80978148671,-7.514259859589139,-20.1497332912122
13.175,Sage,137.4,886.3928112365427,-7.690501184198672,-20.55926258317802
13.375,Sage,135.3,867.5940772174117,-7.620370531917962,-22.247206572142822
