time,speaker_gt,f0,centroid,tilt,rms
0.375,Speaker A,168.4,1767.029349703607,-1.8898396867975205,-32.72588572349376
0.575,Speaker A,168.4,1742.393498507157,-1.9783528081523567,-32.51836433659279
0.775,Speaker A,200.3,1679.8082737908169,-3.2039812824074314,-33.56752728908492
0.975,Speaker A,209.4,1672.435097179197,-4.247496549335078,-30.781656336755727
1.175,Speaker A,202.0,1509.7242981109803,-5.447091674862881,-31.518768046407963
1.375,Speaker A,199.4,1247.42387035797,-6.766246957137757,-32.39308203127833
1.575,Speaker A,174.5,1262.62569658815,-6.639485995041182,-35.494471693777626
1.775,Speaker A,160.3,1503.5969259302094,-5.440204231853338,-35.893061984600784
1.975,Speaker A,150.9,2272.0235834159084,-3.861849293812574,-36.416408690370645
2.175,Speaker A,150.2,2750.114179267758,-2.2201088323194353,-35.84530706421716
2.375,Speaker A,150.2,3565.686459221855,-0.4092721293997375,-35.482413237846224
2.975,Speaker A,238.5,1168.9219089860578,-5.404543220075744,-28.635510423799406
3.175,Speaker A,236.7,1385.5010734439184,-4.70216675403554,-29.90444939058198
3.375,Speaker A,196.6,1243.4819071908319,-6.633334214397874,-30.384598124462542
3.575,Speaker A,193.4,1038.947755227969,-7.7422660442580815,-31.503001553754967
3.775,Speaker A,191.0,1034.993041515676,-8.056705123846195,-30.72775650315989
3.975,Speaker A,176.6,716.740349211326,-10.160421935491371,-30.35255596086255
4.175,Speaker A,160.5,973.0694247947708,-7.670244778702375,-32.15915002336509
4.375,Speaker A,162.2,1010.6375573772949,-7.007111692115796,-32.66949947161483
4.575,Speaker A,162.0,1023.0850331853891,-6.936487171576481,-35.052709147200034
4.775,Speaker A,171.4,1260.1974862169159,-6.106543521962905,-34.8418390218219
4.975,Speaker A,174.4,1623.1451808392799,-5.228944052309348,-34.438134612859784
5.175,Speaker A,203.8,1745.0202727840065,-4.736456228861147,-35.17805347912333
5.375,Speaker A,156.9,1736.2726720055116,-4.375675665415086,-37.10845586994303
5.575,Speaker A,154.1,1620.5330305585667,-5.116959599740469,-38.55485914360087
5.775,Speaker A,151.7,962.5053417204992,-8.76743866989824,-38.74168502409047
5.975,Speaker A,153.0,967.5420695280973,-8.994903551982219,-38.27270058895826
6.175,Speaker A,154.9,1295.3888229219388,-8.302784848016117,-38.42443552060448
6.375,Speaker A,153.0,1281.678277444566,-7.559936190615063,-38.75657224096281
6.575,Speaker A,149.5,1396.2054952158683,-6.841978369719146,-39.23633997266519
6.775,Speaker A,136.4,1450.691968851668,-6.783716547433731,-39.76459378699417
7.775,Speaker B,79.5,1591.5880677304751,-7.610637710705312,-23.895562632609103
7.975,Speaker B,79.0,1520.430115697509,-8.328252374710848,-24.668106568312986
8.175,Speaker B,79.0,1344.8900871047388,-9.914857173342266,-23.94486806789469
8.775,Speaker B,85.9,642.416201336799,-10.371722402793672,-20.988981580776773
8.975,Speaker B,88.3,551.6337102341811,-11.358800052198319,-21.398113867939713
9.175,Speaker B,89.3,836.7061452251818,-9.764687992901544,-22.524414867028362
9.375,Speaker B,90.0,1059.4830925403578,-8.601412093528987,-23.134952925699093
9.575,Speaker B,85.5,1026.116643257558,-9.530378214331966,-23.011377963936535
9.775,Speaker B,84.4,1113.9171165231132,-8.521678162076123,-24.56564087160432
9.975,Speaker B,83.5,900.7012032761342,-9.794446827959058,-24.955749061288714
10.175,Speaker B,83.4,674.4733886175375,-10.739614426336445,-25.95891872358981
10.775,Speaker B,90.0,525.2678362709528,-13.54289428647472,-22.262028419845848
10.975,Speaker B,89.3,986.343740203807,-11.457525970305639,-24.33679711049338
11.175,Speaker B,90.0,1534.107309729681,-9.25308761343726,-24.585835376946342
11.375,Speaker B,96.0,1604.1019939910352,-8.716407788783483,-23.399585018167336
11.575,Speaker B,86.6,1619.0344124616058,-9.811740104402213,-24.246540724735205
11.775,Speaker B,87.7,1155.4266142092793,-11.349757797466367,-23.47910000749982
11.975,Speaker B,94.0,749.7492470481844,-13.369766820575096,-23.469506611908017
12.175,Speaker B,88.7,825.0958022503887,-12.006058911714952,-26.687733351296185
12.375,Speaker B,84.2,821.1414472794718,-11.766597328937527,-25.356599611162487
12.575,Speaker B,82.6,691.4940053489563,-12.772046808078217,-26.126927716926577
12.775,Speaker B,82.6,889.5396722050297,-11.256737095067836,-26.64499031969926
12.975,Speaker B,82.4,1168.0719975731765,-10.291698558926521,-26.635068098129008
13.175,Speaker B,81.6,1159.8652825279257,-9.270623544505597,-28.64414386181423
13.375,Speaker B,79.1,1117.6558153418223,-8.117862375433964,-29.467415644903312
13.575,Speaker B,76.1,579.1951191032334,-10.082676286822535,-30.56119383016504
14.175,Speaker A,303.0,2904.9405952023076,-1.7596521657427742,-25.11111086913337
14.375,Speaker A,298.7,2604.2577974041947,-2.467704419542466,-26.039103874605523
14.575,Speaker A,298.7,2530.4295032286655,-2.8663815210707573,-26.579047837028305
14.775,Speaker A,242.5,2331.8556674726624,-2.817462897111211,-27.328896470948823
14.975,Speaker A,235.0,2136.3090636185893,-3.1559202752640942,-29.01437841561937
15.175,Speaker A,227.3,1947.2021049072794,-3.3056192757728544,-28.294501232685537
15.375,Speaker A,193.7,1635.835024736566,-4.926815926276782,-29.80879202918644
15.575,Speaker A,171.7,1741.05137792681,-5.36435835108486,-33.51545873003972
15.775,Speaker A,171.6,1627.3237346909061,-6.311893598130386,-31.142416691933196
15.975,Speaker A,233.7,1205.6382843377403,-6.234802654523535,-28.545454854439164
16.175,Speaker A,242.6,1424.8993816758828,-4.293952694893511,-25.153575950521144
16.375,Speaker A,241.7,1339.6899708871852,-4.670433757692874,-25.119741340228607
16.575,Speaker A,266.3,1475.006044590082,-4.361903846962278,-25.59555166453929
16.775,Speaker A,291.6,1447.5335964329004,-4.7212029936329625,-25.12378086130479
16.975,Speaker A,299.7,1380.135579776169,-5.097095269251529,-24.625774845892565
17.175,Speaker A,280.7,1218.4680173890242,-6.248912863584519,-23.34674062276129
17.375,Speaker A,275.4,2243.982612939614,-4.947629888692877,-24.6969728949676
17.575,Speaker A,271.5,2599.645998016845,-4.835632839666738,-25.326094246627406
17.775,Speaker A,261.4,2878.3890054061303,-4.451538348855577,-28.409257247100296
17.975,Speaker A,235.6,2699.7142970874675,-4.393904173243338,-30.41986398108569
18.175,Speaker A,225.6,1686.078096556864,-5.8846352295659425,-30.39868311540237
18.375,Speaker A,245.1,1172.9467827261826,-5.804161353410369,-29.154845129504455
18.575,Speaker A,263.7,1362.9163319370264,-5.326715129925924,-30.225298626153055
18.775,Speaker A,291.3,1492.2826057350728,-4.722015810044453,-30.121609588262004
18.975,Speaker A,304.1,1609.895391199601,-4.254208755118481,-27.99044480191877
19.175,Speaker A,249.7,1570.7499194608529,-5.644618227805709,-28.39150627377368
19.375,Speaker A,251.4,1619.390740012941,-5.457073563360555,-28.59951866910787
19.575,Speaker A,236.6,1549.8168805320495,-5.6000911331050185,-29.99130326301396
19.775,Speaker A,266.7,2198.128054433141,-4.247913758408038,-32.9589883592369
19.975,Speaker A,269.6,2043.6485098063406,-4.789649536332825,-30.30199291078988
20.175,Speaker A,273.4,1811.0126531769947,-7.139931196123336,-30.14370616425009
20.375,Speaker A,275.7,1510.5637321771073,-9.053781581320623,-30.353324109191306
21.375,Speaker B,143.6,1773.7859286015039,-7.155666182395535,-18.139863935956313
21.575,Speaker B,142.5,1512.5575449881082,-8.15440072539506,-18.473646329696148
21.775,Speaker B,143.6,1050.5798465587222,-9.431784869058024,-18.5252653868785
21.975,Speaker B,138.4,875.0025418372173,-8.87809960946266,-18.987146232390707
22.175,Speaker B,149.5,743.3825049028297,-9.971094102090346,-20.008613393074576
22.375,Speaker B,128.9,760.6604641608602,-9.049047953109,-20.936227408296393
22.575,Speaker B,128.8,1090.9114190386072,-9.476537596218657,-21.13397223853617
22.775,Speaker B,128.8,1134.808933755438,-9.114839397588947,-21.250983265162215
22.975,Speaker B,151.6,1139.9123376876735,-9.170893004878563,-21.969290466236004
23.175,Speaker B,200.5,1177.329396157147,-8.883663288377088,-21.432072975135625
23.375,Speaker B,177.5,1021.9655670377983,-8.35924273408865,-20.68699124633289
23.575,Speaker B,146.9,1362.7563439046485,-7.72322670626056,-22.034762780337793
23.775,Speaker B,149.4,2035.9461809259171,-6.4599447202453835,-22.544765002389887
23.975,Speaker B,125.4,1637.9367947303394,-8.476252410587403,-22.743296882740196
24.175,Speaker B,113.5,1940.3158323858504,-6.836741767337485,-25.379116103740905
24.375,Speaker B,90.2,1737.976954795868,-6.258238772137667,-31.019672760237324
24.575,Speaker B,81.6,1195.8211191306161,-6.996415413887795,-35.47824229746071
24.775,Speaker B,,1428.2304309885135,-5.087695358719713,-47.80888226577177
24.975,Speaker B,219.9,1003.060558198086,-7.532457745909906,-25.80304790375557
25.175,Speaker B,209.2,989.0846632351645,-9.078979631626645,-19.664126243490923
25.375,Speaker B,192.8,945.9379118010793,-9.101337588284517,-18.695901409157944
25.575,Speaker B,199.4,1175.1278349442302,-8.048917343249656,-19.182681900704143
25.775,Speaker B,169.5,1502.8994157822058,-7.845934558996152,-20.710111880517303
25.975,Speaker B,132.8,1580.7468304253048,-7.929821273038976,-20.868457936665344
26.175,Speaker B,114.1,1948.0399451281157,-7.213701556236474,-23.315442516126204
26.375,Speaker B,109.1,2069.268676422751,-5.8521833124938745,-24.796866424658713
26.575,Speaker B,102.0,1674.9910771754107,-6.795534090994948,-25.356608747343962
26.775,Speaker B,99.1,1718.300444164826,-6.674906952272445,-24.95447231230643
26.975,Speaker B,99.1,1181.2083227072148,-8.805659083237872,-24.499277532662273
27.175,Speaker B,96.2,956.2735026646243,-11.231625930859721,-23.808834265571278
28.175,Speaker A,428.4,1925.0814277222057,-2.9738140057565245,-24.749859555302095
28.375,Speaker A,428.4,3236.02653844756,-1.2185433264713315,-26.87635318477814
28.575,Speaker A,438.1,3117.392236012987,-0.48567210673858124,-24.900655390672945
28.775,Speaker A,420.3,3916.7393103109944,0.5482985789490527,-27.47960860761497
28.975,Speaker A,265.4,3821.1927126165388,0.4503860575001799,-27.028068856727423
29.175,Speaker A,263.6,2741.0705627551047,-1.718341912881174,-26.034408641667987
29.375,Speaker A,409.8,2639.2803979308787,-1.8999953930239037,-27.301833750870664
29.575,Speaker A,414.8,1579.4731458734577,-2.8648526472781755,-24.946856711138455
29.775,Speaker A,426.5,1438.8060215547982,-3.2666792329884107,-24.895152381223514
29.975,Speaker A,426.7,1428.4649381831566,-3.752383421944004,-24.19551225837481
30.175,Speaker A,424.2,1549.5492378393428,-4.484846489007796,-25.06232686595358
30.375,Speaker A,426.9,1925.7437748135367,-4.323741982999413,-25.79708612869258
30.575,Speaker A,411.4,1963.9870258785145,-4.26614528360565,-25.493275306280374
30.775,Speaker A,414.2,2275.210917150781,-3.1381561766578066,-26.854235908873196
30.975,Speaker A,400.7,2274.0980145130675,-3.075866524108793,-25.391386845011542
31.175,Speaker A,391.6,2305.5407726659446,-3.3629971923715614,-25.405847657793927
31.375,Speaker A,385.4,3021.411004540092,-2.2458058976926574,-27.061533847494104
31.575,Speaker A,373.8,3037.1669381934316,-2.575383841587803,-25.944052328068047
32.375,Speaker A,393.2,1789.6189834536096,-2.787254271967742,-24.204738119163206
32.575,Speaker A,395.7,1809.2214732285545,-2.3286346711350903,-23.043281587290593
32.775,Speaker A,414.0,1715.2965616215652,-3.3993306717176774,-23.41935609071588
32.975,Speaker A,433.5,1568.6439812924907,-4.190418011817094,-21.47395303385386
33.175,Speaker A,438.6,2136.966503765678,-4.169007020286613,-23.99791329133629
33.375,Speaker A,422.1,2073.722106677576,-4.253262248481403,-23.165532107803152
33.575,Speaker A,353.5,2610.9453027209997,-3.2443364097227225,-25.09371222885591
33.775,Speaker A,349.9,2887.920819104757,-2.914301159487957,-24.780138498638177
33.975,Speaker A,345.2,2733.097055675543,-2.6285173382323497,-25.761875041763645
34.175,Speaker A,384.0,2886.830389548505,-1.0709903923014674,-25.216157618042047
34.375,Speaker A,405.6,1858.2894926821525,-2.161399190260033,-22.79162804834753
34.575,Speaker A,401.2,1581.096216892127,-4.1908206764401115,-22.51268189683746
34.775,Speaker A,404.7,1335.158804533147,-6.038632558147532,-22.449403738915926
34.975,Speaker A,380.2,1106.7222582259901,-8.872935725973516,-22.217842856988685
35.975,Speaker B,81.8,593.3429568942416,-15.339512877828987,-21.718437509059335
36.175,Speaker B,81.8,591.5746389784169,-15.354540109487845,-22.855669754562594
36.375,Speaker B,81.6,624.2707672531977,-15.655261632389292,-22.277856277707258
36.975,Speaker B,88.4,1023.9704776859138,-10.506878176244147,-22.871912340568056
37.175,Speaker B,86.4,1724.6944770677871,-7.742942172679878,-24.130822988494344
37.375,Speaker B,84.5,1839.6644224385295,-6.220574968421729,-24.765174234016598
37.575,Speaker B,84.5,2130.838847294208,-3.8231656557157163,-24.96434243034809
37.775,Speaker B,81.7,2076.701410572561,-1.7027103819336744,-29.23344097416532
37.975,Speaker B,81.6,1702.8283038971128,-1.7480368031053988,-30.070193717341315
38.575,Speaker B,142.5,555.1774936457529,-10.352524355558756,-16.823421215884625
38.775,Speaker B,123.4,572.5369019897174,-9.94255793371628,-17.2488287532408
38.975,Speaker B,116.3,561.5135737090643,-10.810600202299197,-17.031078507766374
39.175,Speaker B,106.7,739.1622335260861,-9.714045552911635,-18.66827236623237
39.375,Speaker B,99.3,818.5590303973153,-9.968064973708316,-19.944043114564465
39.575,Speaker B,93.8,763.5774399872691,-10.892146873429901,-21.00427959060407
39.775,Speaker B,84.2,710.8785432001291,-12.072049360114047,-22.91129387860089
39.975,Speaker B,83.4,490.88120819451814,-16.04420026991478,-21.324035185196017
40.175,Speaker B,80.2,420.0486963459337,-17.176257185079564,-23.945455578534272
40.375,Speaker B,82.1,552.4018886952373,-16.756424230506013,-24.128247728226945
40.575,Speaker B,79.9,665.3751132005916,-14.680906285535167,-24.247010401940567
40.775,Speaker B,85.6,1024.2841179173745,-9.993301783370057,-25.36953337226421
40.975,Speaker B,88.9,1033.51835073007,-9.994211982811217,-25.181298933711638
41.175,Speaker B,85.6,1054.34782587181,-9.630063472573609,-27.92387416164429
