time,speaker_gt,f0,centroid,tilt,rms
0.975,owner,82.2,864.6949903952204,-9.015660662708886,-32.90391844570977
1.175,owner,154.1,832.3524366469695,-8.897783187745542,-32.505060954807576
1.375,owner,153.8,823.3334577904665,-9.061804326764918,-32.59589952462449
1.575,owner,148.2,759.6515462241233,-9.166706934158785,-32.29190748528601
1.775,owner,148.8,852.8273420470756,-9.026759435281358,-31.89055007629081
1.975,owner,144.7,976.7393290150901,-8.134895493559089,-32.215694322138646
2.175,owner,139.3,962.3572552501892,-7.977452892290107,-32.569289301257605
2.375,owner,136.9,1048.110014395104,-7.091777148882531,-33.94178458953712
2.575,owner,132.5,825.2018207928153,-8.402749034193187,-33.905024419291095
2.775,owner,121.2,808.7468276271657,-8.744953780944481,-35.36568556544653
2.975,son,126.1,909.9480645661681,-8.819302157728094,-36.337381381812854
3.175,son,177.1,1102.1588585086504,-8.1844896062423,-36.26563409376687
3.375,son,212.4,1199.0105967344234,-7.200175530028922,-35.90871212719964
3.575,son,215.0,1161.876045664307,-6.848963727408554,-32.632395765637156
3.775,son,215.5,1298.174499728748,-5.864574116198436,-31.042019171659003
3.975,son,210.8,1368.7509609864042,-5.656418446628084,-29.10200762157599
4.175,son,205.8,1305.4339910299793,-6.336319062442496,-27.974671521358303
4.375,son,197.7,1465.5329308545422,-6.0126089096339665,-27.676329362917684
4.575,son,180.7,1448.1336589570567,-6.343193730037472,-27.34583786410091
4.775,son,178.5,1400.2030920679385,-6.665081567177779,-28.122485470861562
4.975,son,176.4,1459.771604864171,-6.6057913779141915,-28.611663483182
5.775,son,207.6,1278.3606557209296,-4.808029840837939,-33.26136841702116
5.975,son,215.0,1304.2522450922677,-5.929467358179673,-30.46995824609119
6.175,son,211.5,1263.166740875239,-6.593104064407622,-29.982869650315806
6.375,son,213.6,1224.1964995201997,-7.49971715295443,-29.997058223700588
6.575,owner,208.6,1105.4593941597882,-9.281196867310715,-30.990778958720014
6.775,owner,142.2,781.7514612748738,-9.943343702407514,-31.76377070625807
