time,speaker_gt,f0,centroid,tilt,rms
2.175,Player1,136.2,1926.0110162844153,-4.073756464025559,-29.925465834649962
2.375,Player1,135.2,1888.0547845143637,-4.882468610406837,-31.984553156772545
2.575,Player1,134.6,1691.1168871362395,-5.949288633627946,-33.74464416434953
2.775,Player1,97.2,1565.4250567912807,-6.73320163998279,-37.849386785778485
2.975,Player1,92.2,1916.8762144792988,-6.564849768301289,-37.657750961792395
3.575,Player1,99.6,1895.091939585661,-9.548741331368172,-36.84144218875363
3.775,Player1,99.5,1429.189352118759,-10.020271298295874,-38.07604317316091
3.975,Player1,99.2,1351.1167262460729,-9.445652571817767,-38.369609005624625
4.175,Player1,98.1,1485.569206440883,-8.280566901997979,-39.29170690626043
4.375,Player1,97.9,2075.8156155357747,-5.52192963137709,-38.570514202436144
5.975,Player2,134.2,2320.171287007349,-5.198066640091888,-34.232901554629876
6.175,Player2,137.5,1931.839600825249,-6.100213428704988,-33.9648289542596
6.375,Player2,137.3,1702.4970288195957,-6.589372969022518,-33.69181129571865
6.575,Player2,135.9,1098.9651637850154,-7.50965054675119,-34.371902870712965
6.775,Player2,137.4,1392.3855785417452,-7.596412874523234,-33.62958567948708
6.975,Player2,134.0,1561.588129701603,-7.134774026324451,-34.447223754414665
7.175,Player2,128.3,2030.485808854172,-5.798876844495063,-35.2155059496579
8.375,Player2,131.4,1039.6389254136495,-9.653151994452646,-32.26603821750275
8.575,Player2,131.4,1027.4462976430725,-9.521213847474284,-32.94565331588243
8.775,Player2,131.4,1412.024239970599,-8.415471612530277,-33.06804049328719
8.975,Player2,131.5,1404.31469566277,-8.275862416997052,-35.862299869063094
9.175,Player2,146.2,1495.7442761535417,-6.955959900089854,-35.95776853635607
9.375,Player2,144.5,1397.3602833043249,-7.456723763103205,-34.146932422917985
9.575,Player2,142.8,1027.292506753182,-8.383261767379897,-34.06118736526389
9.775,Player2,142.2,1293.7210130036158,-7.427855756813436,-32.635758252992694
9.975,Player2,142.6,1265.8864559012668,-7.441304550204964,-32.13306709791976
10.175,Player3,145.7,1264.8693568886383,-7.127580306407111,-30.919239472042026
10.375,Player3,149.7,1552.7862259789297,-6.327043272079413,-30.868754614411284
10.575,Player3,152.1,1461.7750772264726,-6.529307463660711,-31.488187588894935
10.775,Player3,154.0,1472.9097088568503,-7.184375725475894,-31.658386477672217
10.975,Player3,169.5,1873.4580395461821,-6.022532419091786,-34.81383101307229
11.175,Player3,164.7,1826.1382127451457,-6.178210327397317,-35.54112294456813
11.375,Player3,173.6,2525.5947352417775,-5.425635099358858,-35.123172700038154
11.575,Player3,138.4,2841.176157669864,-4.9008027231392814,-30.688510599867
11.775,Player3,129.2,2348.556998702331,-6.641685311423681,-27.235149117311877
11.975,Player3,128.4,2081.9694881325504,-7.041960467980666,-27.788641574815095
12.175,Player3,128.5,1499.3742601242595,-7.778023670814931,-26.448724058863245
12.375,Player3,128.5,1267.8890628571578,-8.667675948025673,-26.818930237638735
12.575,Player3,131.0,1259.918430791739,-8.177510309182288,-27.294402151518117
12.775,Player3,134.2,1051.5202523783983,-9.214190760933699,-26.914341241793714
12.975,Player3,132.0,1126.3825472780259,-8.685522590303277,-28.838141688002686
13.175,Player3,126.3,1342.4329943881196,-8.389925731784336,-28.582256398775353
13.375,Player3,122.9,1304.78757826302,-8.609441993142559,-29.331066086019845
13.575,Player3,120.4,1497.221139775602,-8.762763681098091,-30.6448473529657
13.775,Player3,118.5,1383.8739652556162,-9.864887710028443,-30.865845668717718
13.975,Player3,117.2,1961.398840279011,-8.580458815484192,-30.099439611001255
14.175,Player3,123.4,2198.3628444502024,-8.06531784563462,-29.510305438715974
14.375,Player3,124.0,1939.119817696396,-8.022108093880508,-28.195925873968513
14.575,Player3,119.0,1669.1666402180663,-8.080575261649244,-27.845995942164855
14.775,Player3,116.5,913.1627613914488,-9.678160972697523,-28.611430846273514
14.975,Player3,111.8,1353.719269526445,-7.629912486105097,-30.55591696757518
15.175,Player4,112.6,1572.9231431996027,-6.394435579762367,-33.11676010144907
15.375,Player4,107.3,1735.7984231935454,-4.826091193467632,-37.530424216822794
15.575,Player4,,1759.18475457711,-4.523077381591093,-39.03125227362122
15.775,Player4,206.1,1162.9834400191264,-5.879439122752293,-32.91102397276848
15.975,Player4,217.3,1106.9759727642352,-6.91697446596685,-30.504530504256444
16.175,Player4,207.3,1075.934935950226,-7.791021493680595,-27.036292333053723
16.375,Player4,208.5,1025.9918613552948,-8.527413250185514,-25.972413272753304
16.575,Player4,199.5,1311.198576760532,-7.817055760761188,-25.732964124584665
16.775,Player4,192.6,1316.2369314930975,-8.213962511140716,-24.650892694763414
16.975,Player4,192.6,1510.410172613768,-7.59421788984745,-26.483424680374654
17.175,Player4,190.8,1532.5178275740866,-7.332454421414219,-26.582954948748103
17.375,Player4,190.3,1182.5583108078856,-7.452589121922554,-28.836431488435043
17.575,Player4,184.4,1157.726394816346,-7.3233324378422715,-28.498141138043614
17.775,Player4,183.4,983.7440898194736,-8.219421176736562,-27.019643177344015
17.975,Player4,181.8,1448.5426438807053,-7.464779178803692,-25.881974941105415
18.175,Player4,177.2,1781.8687844296308,-7.188312404966418,-25.93012918558211
18.375,Player4,173.3,2431.448180231961,-5.639292401171176,-25.940685522663557
18.575,Player4,157.9,2513.7062640689924,-4.526886252433472,-28.35547827768479
18.775,Player4,125.1,2577.6788222986934,-3.3887739226438205,-30.17828097135263
18.975,Player4,152.0,2035.4773416137045,-4.015166486364366,-31.182932124833304
19.175,Player4,163.6,1559.0394523210884,-4.945578666265619,-31.26819305968428
19.375,Player4,168.6,1498.4519853776856,-5.370277470633121,-31.034431285442942
19.575,Player4,171.6,1095.5712977129529,-7.299628039737041,-31.403687704215084
19.775,Player4,155.2,1448.7063664656914,-7.029791883653055,-29.72667986611837
19.975,Player4,150.8,1560.7325875514664,-6.821805923881628,-29.73393179971078
20.175,Player5,125.2,1734.945273829253,-6.5142324723319796,-26.373594485188583
20.375,Player5,120.5,1981.460843580832,-5.797758298784872,-25.0842467352256
20.575,Player5,120.9,1551.8043133409703,-6.72797122859738,-25.370201525224378
20.775,Player5,118.4,1542.7570311189504,-6.3220880985876855,-22.71136013142527
20.975,Player5,114.0,1107.3704610276563,-7.450983720116212,-22.653090251461094
21.175,Player5,110.9,1009.0156046250806,-7.1621983076123135,-20.91181445586684
21.375,Player5,110.3,1280.0600356796672,-6.444507313274299,-19.937028759993186
21.575,Player5,109.5,1248.588642538252,-7.172520311090222,-19.284309860170417
21.775,Player5,109.8,1567.372928459182,-5.972654769671822,-20.401341676761003
21.975,Player5,111.7,1499.043627321237,-6.674553933252041,-20.61783157092814
22.175,Player5,109.9,1085.1015773095614,-8.281562254612734,-21.314423806458805
22.375,Player5,107.0,1106.0658589154104,-7.843248868896359,-24.24539978305321
22.575,Player5,103.0,961.6621561035832,-7.73682853857772,-26.91648430893489
22.775,Player5,98.0,1521.8872892104364,-5.838425823588334,-30.45516879549226
22.975,Player5,187.5,1680.719777806615,-5.348493128719613,-32.05674653874485
23.175,Player5,199.3,1680.5591842923466,-5.56284731663764,-31.152091922586056
23.375,Player5,210.9,1749.5131829294046,-5.21381192883032,-31.790936724326095
23.575,Player5,219.2,1447.5008904944448,-5.202916984384501,-35.103433009636696
23.775,Player5,138.8,1459.161465307978,-4.520665950975863,-39.019476465758174
23.975,Player5,,1569.530049795412,-3.737882289347115,-41.727744097167026
24.175,Player5,,1535.0364665196107,-3.325683637557841,-42.06358769022767
24.375,Player5,,1500.903608474411,-3.4507015103722996,-42.40043677261628
24.575,Player5,,1514.5073068830907,-3.592977517517852,-42.43263244289052
24.775,Player5,,1371.849466518848,-3.701758378611813,-42.17750770146133
24.975,Player5,,1183.1240041731435,-4.187465230299739,-43.21564314970014
25.575,Player6,161.0,1415.531476043619,-7.781313527284497,-29.578268374086186
25.775,Player6,146.1,1199.905993907706,-9.70775321584748,-22.19749094790995
25.975,Player6,145.4,1841.5175659719341,-7.913570396721735,-22.724561573628073
26.175,Player6,143.5,2414.623926011787,-7.299126915580097,-21.465845401425092
26.375,Player6,138.8,2184.5534733135546,-6.160991083459342,-20.685970876247044
26.575,Player6,126.0,2376.9508240716873,-4.590944932503181,-23.315469778456
26.775,Player6,124.5,2108.799026150902,-5.012353492568525,-23.957119454573427
26.975,Player6,118.7,1719.1904082211224,-5.068293121289764,-25.990048677422244
27.175,Player6,115.3,1710.38239500512,-5.263420931549619,-28.280624958714093
27.375,Player6,113.1,1483.0976038475405,-5.307846497063313,-28.103445659684162
27.575,Player6,109.0,1364.308555625481,-5.86089860719586,-30.077793702837337
27.775,Player6,107.3,1394.6814235664915,-6.653686072436137,-32.08130072410047
27.975,Player6,106.3,1478.5336485288142,-6.975555795835935,-34.89216963836616
28.175,Player6,106.1,1342.773516058108,-7.696764852000529,-37.328883229266474
28.375,Player6,,1232.7196846000013,-7.333510154224357,-38.658185047398604
28.575,Player6,,1320.3763671902386,-6.527819902133011,-40.23682261352001
28.775,Player6,,1730.2499609952586,-4.8347846547098365,-41.76944191334477
28.975,Player6,113.3,1742.1749601107922,-4.245751888645067,-40.16212722829139
29.175,Player6,113.3,1727.1802340802778,-4.089277416000526,-39.32233347032908
29.375,Player6,113.3,1540.7863474781175,-4.245624684453685,-39.56151072828292
29.575,Player6,116.9,1444.9082312419398,-4.0000810659018375,-39.97113626617414
