time,speaker_gt,f0,centroid,tilt,rms
0.375,Speaker A,91.9,892.1088484910707,-5.445973064143632,-28.11156599555417
0.575,Speaker A,88.8,815.3452185602949,-5.548022138127438,-29.327225094778335
0.775,Speaker A,101.2,721.2386414673618,-7.876754268084978,-24.807580773381414
0.975,Speaker A,99.7,892.1672314449792,-9.268429350182958,-23.231927159370713
1.175,Speaker A,101.2,944.3816575609127,-9.6717770733843,-23.184542376171976
1.375,Speaker A,107.6,955.3514482264691,-9.824540580444648,-23.725551368971708
1.575,Speaker A,99.3,934.449206238669,-10.990008493347323,-23.74431888353481
1.775,Speaker A,103.1,1724.641828885924,-8.243135649339058,-23.820284710174633
1.975,Speaker A,91.8,1547.3711811927624,-8.498576608667953,-24.72813922062736
2.175,Speaker A,87.6,1652.1091165022603,-7.8705330294151326,-25.687538180987836
2.375,Speaker A,86.1,1235.3483040992915,-8.942520681361108,-25.69956671707487
2.575,Speaker A,84.0,682.124697578922,-9.457078378024638,-28.899626604800766
2.775,Speaker A,85.2,756.4299053418284,-6.962185611952536,-31.667024274527456
2.975,Speaker A,84.6,644.3786654151554,-6.711280213009594,-31.268831851016714
3.175,Speaker A,93.4,636.9758133375569,-6.821939222182336,-28.32585052477321
3.375,Speaker A,93.5,637.305601236883,-9.757769404219866,-22.976645435658483
3.575,Speaker A,94.3,652.6509648569591,-12.568204910626779,-20.709815764201515
3.775,Speaker A,95.3,571.523764268177,-12.618038409716373,-21.04805311346523
3.975,Speaker A,96.7,569.6665051901437,-13.412733754553406,-21.21610587657814
4.575,Speaker B,179.8,2908.5776661252203,-1.4804106845322476,-25.30403409434996
4.775,Speaker B,179.8,2509.8709071158232,-3.8881967034027194,-27.415372218353244
4.975,Speaker B,179.8,2303.021221906085,-4.930580878785284,-26.804187891339048
5.175,Speaker B,170.0,998.4187758878647,-11.438330443742151,-30.80557247939444
5.375,Speaker B,221.4,1257.1296207929502,-6.344620720338601,-26.453824484359817
5.575,Speaker B,222.7,1130.396858016735,-6.012947409383474,-22.470436184445322
5.775,Speaker B,223.7,1718.6636628786007,-5.07646352275623,-24.624739879898353
5.975,Speaker B,222.7,1819.6469674421433,-4.479322856050288,-24.796859152189068
6.175,Speaker B,220.3,1838.8061554581516,-4.898937205913678,-25.34066719404371
6.375,Speaker B,206.5,1756.2120808958898,-4.2976237456134685,-26.845583518403263
6.575,Speaker B,201.1,1396.8781462568472,-4.572256166188385,-25.790059158130457
6.775,Speaker B,182.1,1140.5289101944331,-5.8267387083823365,-28.299728725835447
6.975,Speaker B,174.0,1192.8594571857682,-5.436182705355643,-30.500265112811128
7.175,Speaker B,154.1,1430.0592684476958,-5.737224095934997,-33.59730814758392
7.375,Speaker B,168.6,684.6802365022993,-9.277798962342574,-34.160909938746144
7.575,Speaker B,176.6,674.7870028145358,-9.519719390444704,-25.716370649346064
7.775,Speaker B,181.6,1792.2076386949425,-6.658473840207353,-27.021180303280833
7.975,Speaker B,195.5,1730.5111785968074,-6.420617070993793,-26.763002189570425
8.175,Speaker B,240.6,1862.4836195303842,-5.520586785042993,-27.243500911436556
8.375,Speaker B,209.6,2083.8954400673474,-5.357116350197663,-29.709712339974537
8.575,Speaker B,196.1,1573.8196165332008,-6.8250564086039,-31.233420113410077
8.775,Speaker B,194.3,1638.4522763839009,-7.038108576158875,-32.03365696229157
8.975,Speaker B,185.3,1607.472867729125,-8.68380652518011,-30.016378676467102
9.175,Speaker B,169.8,1253.4438854231944,-8.647045198397699,-31.537941049821892
9.375,Speaker B,160.9,1107.5250706618592,-10.461730083898784,-31.52608372932744
9.575,Speaker B,149.9,932.543179596893,-11.570756435007429,-33.98784406080728
9.775,Speaker B,132.4,1076.4031812891433,-10.195424185407946,-36.58140208429621
10.175,Speaker A,94.2,898.7719147973648,-9.013194286763744,-28.256887204774188
10.375,Speaker A,101.0,800.2401980773286,-11.735502415888169,-24.19045935996564
10.575,Speaker A,98.8,1134.2095037801455,-11.443508261336227,-24.16736856815508
10.775,Speaker A,100.9,1871.7967763646013,-9.300279287596906,-23.52428100842946
