time,speaker_gt,f0,centroid,tilt,rms
0.375,Speaker C,157.9,1069.4062877641081,-5.946002011731024,-22.355867903159282
0.575,Speaker C,150.1,1078.1136435114367,-6.170003606359484,-23.81565406063336
0.775,Speaker C,200.7,894.6961392817298,-6.731091554703251,-19.304705034572592
0.975,Speaker C,184.2,1253.8628921913073,-7.781549213210583,-18.611672124591454
1.175,Speaker C,182.5,1543.5618489203325,-6.6421310691703015,-19.321952347132193
1.375,Speaker C,175.5,1382.2644092375663,-7.541088346612308,-18.7061284498701
1.575,Speaker C,159.7,1602.270342813937,-7.083284156565394,-21.802982041010914
1.775,Speaker C,164.9,2332.6785432724096,-5.479249265262352,-22.629380042661275
1.975,Speaker C,141.4,2538.6118899652542,-5.635476087019569,-23.979910374504637
2.175,Speaker C,242.3,2953.10611770157,-4.337909646731813,-22.70516592788105
2.375,Speaker C,257.2,3200.1713630761838,-4.291848562344048,-17.70838452828813
2.575,Speaker C,221.1,2022.2217719683222,-6.634537480526357,-15.650639869356151
2.775,Speaker C,216.3,2014.230970763214,-5.983306043962447,-17.300532366318564
2.975,Speaker C,184.6,1809.6253281745835,-6.535064419789743,-18.66045494396522
3.175,Speaker C,170.2,1374.0197427143223,-7.200576578343513,-20.554182343961905
3.375,Speaker C,150.8,1549.11271768794,-5.953561089250962,-24.798989864927464
3.575,Speaker C,148.5,1610.6928904835495,-6.432693297915637,-26.442738269000547
3.775,Speaker C,142.0,1735.7450817098213,-5.6623448562504874,-28.20868864664692
3.975,Speaker C,175.2,1471.088528037409,-5.967818090398624,-25.774782502247227
4.175,Speaker B,183.8,1150.4723520734462,-6.286600267903296,-24.47303053581016
4.375,Speaker B,181.1,1102.2170490953072,-5.280412105252247,-26.05599024654574
4.575,Speaker B,183.1,1236.685882767769,-4.151637638835253,-25.72536566544855
5.175,Speaker B,238.9,1578.9296763233433,-5.155021384565877,-19.30386340534262
5.375,Speaker B,221.3,1702.9466018763076,-4.0968066533397565,-21.402024738905084
5.575,Speaker B,215.1,2018.395996536467,-3.8140489091783647,-22.348059896109085
5.775,Speaker B,184.7,2298.8935867480136,-3.536000346049647,-26.519799508730543
5.975,Speaker B,159.3,2180.4465513927785,-3.868936764142546,-28.817572822666627
6.175,Speaker B,134.9,2301.409187809627,-4.461642645224224,-29.344975091055044
6.375,Speaker B,127.7,1314.5724333134403,-5.689306605213643,-31.544765882605393
6.975,Speaker B,268.9,1489.71543535729,-5.073400545147725,-21.419000617312157
7.175,Speaker B,262.6,1479.460329801395,-5.226398176777795,-20.795272904911734
7.375,Speaker B,262.9,1630.727907233164,-5.406253349814389,-19.61594703128674
7.575,Speaker B,248.5,1590.000453162462,-6.981626173372596,-19.774974777281113
7.775,Speaker B,224.5,1956.34953676539,-5.626895439306867,-22.57308670848433
7.975,Speaker B,165.4,1678.6475265102465,-5.26989020324056,-23.030695617809126
8.175,Speaker B,142.4,1821.8586343724392,-4.330642983051859,-28.91351159168918
8.375,Speaker B,138.9,1567.521105515337,-4.145779300619913,-28.32942430930682
8.575,Speaker A,107.3,841.638709412869,-7.792200019985051,-20.664935023186615
8.775,Speaker A,101.5,1360.1991011153248,-8.193936866869867,-20.6557725227092
8.975,Speaker A,96.1,1182.4854839100208,-9.212663880538422,-19.93463425099199
9.175,Speaker A,95.2,1420.3416809282994,-8.229567666479092,-21.32690335945172
9.375,Speaker A,88.2,1300.6532346679603,-9.928343122277328,-24.255416432654727
9.575,Speaker A,84.6,909.695628359643,-10.851967624365455,-24.69526107561043
9.775,Speaker A,77.7,873.6753724348741,-11.330983500482636,-29.91561929564576
9.975,Speaker A,97.5,529.0926104237493,-13.117720682593356,-22.40121529163632
10.175,Speaker A,101.5,649.7058672316297,-11.647689606464777,-21.290448722172673
10.375,Speaker A,101.0,657.879675159815,-11.254794349451089,-20.81717544269638
10.575,Speaker A,99.9,1380.102646085093,-8.758079773829898,-21.933023346195384
10.775,Speaker A,88.7,1285.961367826261,-9.760666402252244,-23.95371906771684
10.975,Speaker A,86.2,1402.1610301938774,-9.45518344161123,-24.642354754504034
11.175,Speaker A,85.2,1118.9418976629565,-11.10412492228512,-25.48746398048153
11.375,Speaker A,85.4,629.1126689491313,-10.668702452597888,-22.461727678615844
11.575,Speaker A,92.5,640.317154950594,-10.053461609078058,-21.85233759438125
11.775,Speaker A,92.5,618.8849680308515,-10.291249420374472,-21.52084649565178
11.975,Speaker A,101.2,1055.020675895505,-8.027160998389835,-18.596867890684535
12.175,Speaker C,149.4,1909.6284634686397,-7.792004461892984,-19.684432112276
12.375,Speaker C,143.4,1975.5883758052796,-8.031659887714863,-19.68390157147942
12.575,Speaker C,146.4,2801.075261486836,-6.1109331056853575,-20.44325918707708
12.775,Speaker C,186.7,2070.2811119636985,-7.291935205016376,-20.110097377085843
12.975,Speaker C,183.4,1817.6501242596,-6.874530240205039,-18.040765100391994
13.175,Speaker C,183.4,2071.6232929420257,-5.442582748427535,-19.64002604069117
13.375,Speaker C,167.7,1158.8902034218784,-7.514097435467744,-18.90739145410079
13.575,Speaker C,163.0,1335.6068550974026,-7.025634764708067,-21.077898082907787
13.775,Speaker C,158.1,1217.7245873968536,-7.270648865272379,-22.166885106356805
13.975,Speaker C,140.7,935.7510151601828,-8.286590762638808,-21.61315799645164
14.175,Speaker C,137.1,983.119204592903,-7.863571769493953,-24.078332074966337
14.375,Speaker C,134.3,834.1540474168268,-7.836556570517835,-25.495942720434947
14.575,Speaker C,135.8,807.2417869510057,-8.570313860933975,-17.44515448546093
14.775,Speaker C,179.6,1056.3048553380836,-7.461809443325272,-15.200508164168768
14.975,Speaker C,177.5,1475.271047031979,-6.186637804015712,-17.186356537886564
15.175,Speaker C,159.5,1249.9312048803192,-6.867331851683196,-17.31360951988329
15.375,Speaker C,140.3,1140.5822601041727,-7.521175193588327,-20.745314581212305
15.575,Speaker C,134.8,1111.4119155321594,-7.169483335209408,-22.39285329732592
15.775,Speaker C,132.6,535.5690830947815,-9.39120685007198,-21.781909739050445
15.975,Speaker B,162.9,1096.0981350772092,-8.367495722857804,-24.257720330898408
16.175,Speaker B,223.7,1837.9099233073657,-5.022070708254732,-26.53517507800148
16.375,Speaker B,222.1,1759.9487824897924,-3.9783528107747133,-26.872880084615147
16.575,Speaker B,224.9,1827.0245956039396,-3.6336749796461403,-26.07647159830495
16.775,Speaker B,225.4,1533.7833205997563,-4.4034506568931775,-23.482927465724828
