time,speaker_gt,f0,centroid,tilt,rms
0.375,Speaker B,207.8,1335.5317131170511,-6.137252265847568,-23.71373990922494
0.575,Speaker B,215.9,2389.7123499293316,-4.372190452306135,-24.453189278618584
0.775,Speaker B,206.5,2404.435916880816,-5.811480660384716,-23.596534928887053
0.975,Speaker B,206.5,2639.7193113781223,-4.9688670551302,-25.5182562805069
1.175,Speaker B,129.0,3003.131740448471,-4.551753577189878,-28.099081816427457
1.375,Speaker B,92.1,2402.0783593682318,-5.5245761682983545,-29.080769299798106
1.575,Speaker B,286.3,3354.931372464477,-3.3878932382668583,-24.00356137122735
1.775,Speaker B,230.9,2307.64536573488,-5.655208341569689,-20.37935927118456
1.975,Speaker B,223.9,1773.375690108326,-6.894829764273811,-20.08805614079034
2.175,Speaker B,222.9,1556.3702752856527,-7.4105288195146795,-19.631722482932247
2.375,Speaker B,221.4,809.6380860647689,-8.956074497130867,-19.124228192191502
2.575,Speaker B,214.9,733.8849946479102,-9.959128217834618,-18.363715165075195
2.775,Speaker B,193.0,1492.7232806322702,-6.6963264584697315,-19.507171323901353
2.975,Speaker B,203.2,1503.0974602950032,-6.35201973610306,-19.12271206192746
3.175,Speaker B,206.3,2089.085644237713,-3.926470792105695,-20.853442335392263
3.375,Speaker B,177.3,1930.233815728276,-4.556007426274032,-21.865088052150973
3.575,Speaker B,166.4,1503.3945726241834,-6.2452642771024856,-23.755177396553997
3.775,Speaker B,156.3,1141.608365668172,-7.865325941308904,-25.451678234541077
3.975,Speaker B,154.3,689.0123129783185,-9.692194769673595,-26.421080132928715
4.575,Speaker C,252.5,1755.2636879319543,-2.93435683692582,-24.01064701740948
4.775,Speaker C,228.1,1651.8519165336982,-3.433872342710477,-23.98422872564378
4.975,Speaker C,177.9,1868.2052248485247,-3.8359965524337305,-25.55410600070507
5.175,Speaker C,158.9,1724.9258787793608,-4.638266592048335,-24.5186629982191
5.375,Speaker C,158.4,1874.677728598392,-5.2150159911806035,-25.04085997078407
5.575,Speaker C,183.9,2079.001534311463,-5.907147659296243,-25.722742966946846
5.775,Speaker C,185.8,1876.9515835483776,-5.669209935528061,-25.853446429915337
5.975,Speaker C,173.4,2142.510206266798,-5.337794255340155,-29.367197587156273
6.575,Speaker C,243.4,1840.46856848946,-3.993021937767988,-23.861818320564254
6.775,Speaker C,238.1,1641.7906872660906,-4.808630166856721,-23.020340656436574
6.975,Speaker C,229.6,1911.6850577581201,-3.5292320966341677,-23.721026115881422
7.175,Speaker C,174.4,1998.86153620778,-4.0355816364822354,-24.56541520115255
7.375,Speaker C,153.7,2667.95122748712,-2.912099432457427,-25.792075891257685
7.575,Speaker C,145.6,3217.651541077674,-2.4246843167312706,-29.2887458418012
7.775,Speaker C,146.0,3142.7880885570644,-2.1485902357675895,-27.7958609671502
7.975,Speaker C,181.8,3665.4556010219744,0.5105605975428554,-29.147731742826224
8.175,Speaker C,160.3,2731.0934097456584,-0.4536670877814414,-26.646914932183883
8.375,Speaker C,152.6,2145.068134505211,-1.8898469890014769,-24.78564565925793
8.575,Speaker C,158.9,2133.0293003443967,-3.1058353855277128,-25.499050221976155
8.775,Speaker C,151.8,1789.751706067046,-4.614939045567667,-25.856978384204226
8.975,Speaker C,149.6,2057.337238929608,-3.935950503249822,-28.481149685700476
9.175,Speaker C,142.2,2075.2909301922145,-3.9654536615309413,-29.46648556891919
9.375,Speaker C,119.6,2161.0121326778785,-4.362274112405325,-31.586221034221325
9.575,Speaker D,168.9,1267.074911481579,-9.894639044182833,-20.38770258690077
9.775,Speaker D,204.0,956.8610135392928,-8.327893693786246,-19.31344808690944
9.975,Speaker D,194.7,812.8124439343669,-8.455814937269954,-18.614187051700895
10.175,Speaker D,188.2,1002.8674655178872,-6.123478660829293,-18.842527363928237
10.375,Speaker D,182.1,1865.893523620732,-3.5097894214317216,-20.874024077230928
10.575,Speaker D,174.2,1923.2787825232103,-3.8835731886306357,-20.317253092098696
10.775,Speaker D,172.7,2577.1892085670274,-3.5751238595135706,-21.068551789679972
10.975,Speaker D,193.5,2468.5315205077945,-4.13928449994956,-20.906190019856354
11.175,Speaker D,191.5,2183.8928557456766,-4.08025156472108,-19.878222871594417
11.375,Speaker D,187.4,2318.7052650866412,-4.279332041476905,-22.70260614537642
11.575,Speaker D,154.0,1896.0366923393713,-5.032550830380644,-22.52900122399298
11.775,Speaker D,142.1,2216.6755672639792,-4.427939777395753,-25.0725493945394
11.975,Speaker D,143.1,2272.1347456072217,-4.590310815102165,-25.95362047855364
12.175,Speaker D,151.2,1984.4535622923665,-4.206203348849326,-23.610819789988568
12.375,Speaker D,167.0,2306.0310598422598,-3.3436448618256214,-25.839310992676346
12.575,Speaker D,167.0,2272.756716674383,-3.3838974088672926,-26.45201423341166
12.775,Speaker D,155.8,1275.4127449945004,-8.179036853278252,-22.6031521929989
12.975,Speaker D,151.6,1434.2921201275042,-8.848149933057769,-26.151726111247278
13.175,Speaker D,159.6,1963.6305256867274,-8.161480487576926,-22.784610702399387
13.375,Speaker D,159.6,1874.306119828539,-7.119896261905034,-23.70346489745971
13.575,Speaker D,175.4,2834.728480585155,-4.669783972495489,-26.101130212965945
13.775,Speaker D,158.4,2820.3386078989934,-4.3315415743913865,-26.791237271864198
13.975,Speaker D,151.1,3181.6903393021626,-3.9050046446131796,-27.704504553658
14.175,Speaker D,152.9,3615.900862681315,-3.5820510949275053,-28.05825034578133
14.375,Speaker D,132.9,3674.3013632951356,-3.0340560772082594,-31.518760898143817
14.975,Speaker A,116.1,1999.9517854836613,-4.707378703911636,-24.95075445204392
15.175,Speaker A,116.1,1968.3662173173436,-4.706715962662704,-25.12084301539934
15.375,Speaker A,111.3,1344.7663716754605,-6.732273252401314,-26.152207793867653
15.575,Speaker A,94.7,1465.638744497116,-7.288112486577747,-28.169524015715808
15.775,Speaker A,93.4,692.0563962169902,-11.663896818889713,-23.429120994287373
15.975,Speaker A,92.1,620.4930407093708,-12.086514770845335,-24.430931703535844
16.175,Speaker A,90.6,630.1628430318914,-12.258756313566868,-24.879450645626243
